ID,Name,Disciplines,Projects,Organisations,Publications
c66651c4-3301-4f9a-82cc-2a13dff8fc4c,Inge Verdurmen,[],[],['8de8fb5d-54c2-4911-b13f-9cb35721d086'],"['06666ff3-3606-4b79-b71a-668c95342157', 'book-component:06666ff3-3606-4b79-b71a-668c95342157', 'f0ad7a57-e69d-461c-a267-ec264107db2d', 'a8335ac1-8787-4a37-9fe8-8ebe341348bb', 'book-component:a8335ac1-8787-4a37-9fe8-8ebe341348bb', 'ee59d802-8389-4c2e-a341-f75558bba5e5', '022af430-d176-4857-b703-60d66502165e', 'book-component:022af430-d176-4857-b703-60d66502165e', '42cd8300-d4f6-4f7f-8282-6266c3e89a28', 'bfbba88d-e7c3-463c-97ac-1345ace4a993', 'book-component:bfbba88d-e7c3-463c-97ac-1345ace4a993', 'e96dc032-8a7d-403b-b750-60866524fd7d', '2e3da415-d9f1-4efc-9dda-0840a526e784', 'book-component:2e3da415-d9f1-4efc-9dda-0840a526e784', '59460ac6-c69a-4e50-9791-cbe310b7526a', 'book-component:59460ac6-c69a-4e50-9791-cbe310b7526a', '41b3600d-af57-46e8-a564-bf47b421a36b', 'b3a1e3bf-271a-4c2d-b5e7-7796848aaeb2', '31c12ab8-d264-406a-b062-73b4ce762f06', 'c52ecd82-fc9e-4faa-a2b2-a4b4e3e72611', '735f1e89-fa94-48e7-a31f-3486157008e0', '1306a368-7987-4fa2-97e6-bf9c257ed950', '21d4daf2-88b3-4911-b500-2205e55e0d9d', '75633eaa-4816-4409-97e5-f2984844f66a', '531240b0-fed7-4f41-922c-347774b9aa7c', 'ea976410-9c81-4d13-876b-1e7b9985b9de', '77c7a8ab-0c30-4fe3-a4e9-d28cb70ca0be', 'ad8cf7cf-f369-4d69-a6ac-2fd68a1b33e4', '09f69381-0458-4648-8c79-9d7b3909dee0', 'b320832e-8999-4323-a589-5757a6882cbb', 'fbacd278-b5d8-4c58-b8d4-a1ea945f17db', '583dbb79-caac-46e8-a0db-1df9e6e4a8fa', '44ff7426-8508-490a-b6ac-4f8381c9dcd3']"
b7252e3a-8971-4884-95ed-1e96807e3397,Jente Bontinck,['03040502'],[],['7b13fdb2-2b15-44d6-9987-8c1c6c6bd781'],[]
19a6e860-883a-48eb-968b-158fa2fd9a14,Sanne Helsen,"['010601', '010603', '010604', '010605', '010606', '010607', '010608', '010609', '010610', '010611', '010699', '019999']",['e5032f2e-88ee-4e64-acf8-bc58a230226b'],['c72f0380-d86a-4318-904b-cba8e1523cce'],"['c9c9b6cc-0ed9-4ac7-adf1-f7be4d2caefd', '9280a580-fdf8-40d2-9315-f89b3af56a16', '02f6172b-ec8d-4ef3-9c32-5b01e4f90231', 'e738ac45-c63a-4df4-b91b-2261758e8aeb']"
985e516a-5a3a-4c73-9f63-dfd11f41ce53,Luna De Sutter,"['03012405', '03023406']",[],['f562c661-7a3b-4393-99f6-11c59cf386a9'],[]
274d2821-147a-48c7-b0df-070ae74e9810,Henri GRUWEZ,['03019999'],['34bb2323-cf25-4896-9c88-2bccccc27ee7'],"['690494f8-6e0e-41c9-8bd9-b1e465697391', '3b709228-3baf-4279-b1b9-a51bae9b17b2', '9f410d8a-6f77-4f8f-9d0a-c57f17168b01', 'eb6b8bd9-cbd1-4155-835f-93816dc4ca58']",[]
e991be55-b2a1-4587-8aae-4d1685b77760,Kim Mignon,"['03061403', '03061409']",[],['2975cb25-a687-4800-8113-c924c1b5d363'],[]
6d72e6f1-4c8b-4b55-b919-2198ed6beb6f,Ana Martin Calvo,[],[],['ee7af0ca-408e-4144-85cc-85e5a9eec2ec'],[]
08e3b493-3c73-4df8-b17b-37208827e2b3,Elisa ROSENTHAL,['05059999'],[],"['0a8a53f5-7c25-4c49-b62f-1160c5953cb0', '0b79ad9d-9e60-4715-a9b1-22994d105576']",[]
929e7025-23c8-4e96-acb9-37cad8dfe94c,Ejlal Shahriari,['02020802'],['11e65caa-56fa-4b4b-bad4-05325a353221'],"['d8603589-e4d9-4f51-9993-b6b2cce718d3', '60284a3c-23fe-466e-a15d-7d619a5fe37a']",[]
3ce5a512-a9ac-4839-9cf6-98b5b5f7b927,Emre bayamlıoğlu,"['05050212', '05050213']",[],['ca657460-5779-433f-9a19-ff6813deec8e'],[]
