ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
53fefd45-1001-4e58-ac90-77b85fa1e86d,BCCM / LMG Consolidation and management of the BCCM consortium Belgian Biological Resource Centre (BRC),2014-01-01Z,2014-12-31Z,"['030620', '030116', '030616', '030120', '030216', '010611', '010608']","['628ee2f2-27bd-431c-9a41-5c1573eba340', 'e320c198-e6d4-4b53-9340-0851fac48353']","['adbfa1d6-6a4b-4abf-8dc4-ea71c647af26', 'adbfa1d6-6a4b-4abf-8dc4-ea71c647af26']",[],1
a3191827-0070-4dda-a461-0faa266afa38,IOF Proof Of Concept: Iris detection and authentication on a smartphone,2018-01-01Z,2019-12-31Z,['01040303'],['0592f26e-12f2-4660-afa9-2ef4a30284ab'],['ef4c44bb-dd19-4677-a5f0-5004fa9673da'],[],1
73e265a7-9262-4cb9-9551-05c247f60754,Development of a RSV vaccine based on virus like particles that display short fragments of viral surface proteins,2009-01-01Z,2011-12-30Z,"['030116', '03011409', '030214', '030220', '030614', '010611', '030620', '030114', '030120', '030216', '010608', '030616']","['a0b337b9-d51c-4683-8dc5-bbe2ef730b22', '923af30a-dbaa-4290-9940-31a1073f0e0c']","['0053b9e1-b5be-40f7-acc7-16b65e968727', '0053b9e1-b5be-40f7-acc7-16b65e968727']",[],1
6ec98ebb-e3dc-47e0-a4c6-6bbb34cc2bdb,Multidisciplinary valorisation roadmap related to energy storage/the methanol economy,2013-09-01Z,2015-01-31Z,"['02030409', '010699', '02030402', '020304', '02030403', '020208', '02039999', '019999']",['0d8dfc27-324c-466f-893e-e169b6dc66f4'],['f9fa0c23-606b-4455-99b3-15033bddba43'],[],1
88da7f0f-3927-4c95-a7a3-3998c71e77b3,In silico modeling of the influence of scaffold properties on the in vivo tissue regeneration response in large skeletal defects,2019-05-10Z,2023-05-10Z,"['02060401', '02060204', '01010302']","['704b602b-5b1d-4d36-bcbc-57c8acd33c77', 'c1a1935e-325b-4c34-b74b-fa5f81c5f545', '045db28a-bd70-409c-8b79-8ace77198f5f']","['888b28bf-420c-459f-815e-634463f39bc0', '888b28bf-420c-459f-815e-634463f39bc0', 'b9b3c61e-650e-4463-a0e2-6de8f49917ba']",[],1
5c8bf925-b714-4419-85b7-120666a4bef6,"Bulk and species-specific high-precision isotopic analysis of mercuryfor unravelling its biogeochemical cycle",2017-10-01Z,2019-10-31Z,"['030505', '010401']","['27174bca-cd9c-46f5-87f0-f7a41eef1721', '9aba6c1a-738f-473f-8ede-c86f107c7f72']","['bd6f787f-0372-4ba1-8312-380a4a74862f', 'bd6f787f-0372-4ba1-8312-380a4a74862f']",[],1
59ae063c-88b3-4ca6-ad3a-7e86fd434f0c,Health care through a service marketing lens: From disease centricity to patient centricity,2018-10-01Z,2022-09-30Z,['050207'],['b1a1e061-a715-4be0-ad33-0c4b00d8fe2a'],['84b4ff0e-31cf-4d56-8304-b2b4ff876884'],[],1
057145a8-c063-4e78-a401-5e7d86683a55,Post-translational modification of GRP78 and its role in human Type 1 diabetes,2017-09-01Z,2021-09-30Z,"['030109', '030609']","['a9e276cd-19ef-4e04-a025-957f831508a3', '20defeaa-7bfe-4ff1-85b1-f2f9300a21fe', '63b7f7be-a770-4527-a12b-358b79425060', '7298b9cb-e762-49f5-a211-50d4d3e25cc3']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",[],1
7bb956ce-c719-4a2c-bc0f-f047a4e7f462,Contextual influences on monetary compensation decisions when high performance is linked to questionable practices.,2014-10-01Z,2016-09-30Z,"['050206', '050110', '050102', '059999']",['95856e2d-77c9-41d7-b597-66c8bf525516'],['eb31fb35-c40b-44eb-83a9-21148c183d32'],[],1
719056d1-ce79-4eaa-baa8-ecb6de261e38,Providing effective social services with engagement and motivation - ESF 6005,2015-12-01Z,2017-05-31Z,['030301'],['92d80d9f-55dd-47ef-81c9-90fdec703bc3'],['f98fa28e-999d-4f18-8421-98a71d3e1f4a'],[],1
9849ea6c-51cc-47df-86a0-61d53ea125b6,European control system security incident analysis network.,2014-06-01Z,2017-05-31Z,['010103'],['cced07fe-3ea2-4427-b81c-54edc6c0b7d5'],['ca657460-5779-433f-9a19-ff6813deec8e'],[],1
e2643a12-6c51-43d0-8ceb-dfcba674459e,The development of new strategies for the enhancement of flavour stability of beer.,2008-12-01Z,2008-12-31Z,['040106'],"['dcfe6e0d-fc2e-464e-bff4-b4c07a4c2893', 'd23af284-daed-43e7-9525-22359070137a']","['e9eb6a47-92c4-406e-87cc-96c5d7123ff0', 'e9eb6a47-92c4-406e-87cc-96c5d7123ff0']",[],1
4447999b-8c6e-4faf-a198-8f715236797a,Probing down to the atomic scale the size-dependent electronic and magnetic properties of few-atom clusters,2016-10-01Z,2017-07-25Z,"['010103', '010303', '010309']","['893bcc0e-8535-4fa1-b9c9-56083ad53edc', 'bc3ae2b8-84d8-4943-8971-611988e995ab']","['70badac7-5952-408e-bb60-371dcf53058c', '70badac7-5952-408e-bb60-371dcf53058c']",[],1
6d842537-ed07-4b1e-a512-5ac71b833023,Molecular dynamics and force generation: shedding new light on cell mechanosensing and communication,2018-01-01Z,2021-12-31Z,[],"['1a42f4a3-746d-4f78-b9a4-efacfb21595c', '44fb98ec-ef85-4881-a0d6-31707de01118', 'f40bf264-976e-488b-87df-ac112777bc7f']","['97b6bdfb-6b47-4edc-a8aa-caaf963a7ecf', '97b6bdfb-6b47-4edc-a8aa-caaf963a7ecf', 'b9b3c61e-650e-4463-a0e2-6de8f49917ba']",[],1
