ID,Name,WoS disciplines,Disciplines,Persons
e3a8f292-2f9b-47e9-814b-5f790d0bb1eb,Evaluation of the radiation dose in micro-CT with optimization of the scan protocol,['000281693500004'],['0306'],['709c1cf4-9ee3-4ef5-a906-33d93fc59d80']
87868cb1-7032-4145-89e8-8308ed6168a4,Transforming timeline specifications into automata for runtime monitoring,['000262477700018'],[],['16f8ea78-4e23-4956-9c36-5a0c17daa2da']
c1e050dd-f30c-435f-9745-d26a8fc336f0,,[],[],['aab30896-ad58-4fe6-9ddc-cc93ad87816c']
5b5cfe5f-c184-40f7-88fa-90db41614207,Phenotypic Screening Identifies Modulators of Amyloid Precursor Protein Processing in Human Stem Cell Models of Alzheimer&#39;s Disease,['000401129100007'],['0306'],['09a5773e-0ba4-4179-92a0-961c66dce8ed']
40821220-6e61-43d1-aab0-cc91ea704a34,Gastro-resistant encapsulation of amorphous solid dispersions containing darunavir by coaxial electrospraying,['000507638300019'],[],"['ebe7cf49-db29-4499-94c3-51499845388d', '0c68aa7d-a0b1-4417-8308-09bf73187aec', 'dfcdc6ef-25a3-45ba-a85d-624ad1280e3a', 'f7294867-e213-4398-ade5-073964ec891e', '308ac91f-c22e-4125-9b29-ea5cd041dc8d', 'b27e42e1-4d45-4bc0-8fba-803cab133701']"
ebcf60a9-6e2d-404b-bf9b-a1aa18875059,A conceptual framework for the strategic urban project approach for the sustainable redevelopment of &#34;villages in the city&#34; in Guangzhou,['000303034100005'],"['0207', '0502', '0507']",['8ba588bf-05a2-433f-8ef4-aac328e408b3']
6a87795d-5158-4f24-95cf-d3e2e40f57fc,Bioprinting predifferentiated adipose-derived mesenchymal stem cell spheroids with methacrylated gelatin ink for adipose tissue engineering,['000522023600001'],[],['37869b45-7a39-4bab-b4f0-43696a8d550b']
65a00574-39cd-483a-b5f2-48667e4f6860,Virtual farmland: Grasping the occupation of agricultural land by non-agricultural land uses,[],[],"['fd2547bd-91ad-4729-9be0-6e46bf81cc86', '336ccfd9-2aad-4610-8932-31f9280bd0c4', '84ca6def-599a-4906-a756-b52522efae17', '1ff58b1a-7c4f-4c3d-89a2-6fc4b6b0a91b']"
489c3146-df1b-4175-bd81-fa1f15d440b2,A cryptic cytoplasmic male sterility unveils a possible gynodioecious past for Arabidopsis thaliana,['000321662800047'],['0106'],[]
9d119b23-33af-4b1d-84ad-3c3b8b6532ac,Usability assessment of a virtual globe-based 4D archaeological GIS,[],[],"['6622789c-3175-4c7c-b5fc-c5f564654110', 'e5de9cf0-0afb-4cd9-a7a7-abd2e88cf474', 'e5de9cf0-0afb-4cd9-a7a7-abd2e88cf474', 'a67bb3c8-4c4f-43c8-b674-c5015c5f9dda', 'a67bb3c8-4c4f-43c8-b674-c5015c5f9dda']"
f33723da-e362-454d-8c5a-5b0eed2036b0,Ex post subsidiarity scrutiny,[],[],['9f0b13cc-af8f-456f-a87a-06a1947b673e']
935b9601-754e-45bc-86c3-11dfe2bc7bbb,Surrogate modeling of base station exposure,[],[],"['b4302ec9-c975-48e1-aa23-ab68419826e6', '15d0f42f-bc45-43bc-a6ac-24704d4ba463', '296f4f15-6bd9-4be5-8ad8-6af1d01b8ced', 'a9285aa9-24fc-4946-abcc-ffe7eea8ffac', 'bdc2c0a6-9fd4-4fe9-b7de-98bad201a6bf', 'f3e05e68-7e53-4223-850f-cdb3b184370b', '3da24490-e81e-4f32-a5b9-af53af3526d9']"
026bb4ab-3a0d-440c-bf05-8f420984ad6d,Scoring the quality of total mesorectal excision for the prediction of cancer specific outcome,['000353565100004'],"['0306', '0306']","['36715072-0156-4a97-82d7-a280ef9e46ac', 'f89a07f8-6350-40e7-85f4-72706af35348']"
6130c220-a785-4eea-adf5-5467044ff895,Cost effectiveness of apixaban versus aspirin for stroke prevention in patients with non-valvular atrial fibrillation in Belgium,['000344605900004'],['0305'],['2e487fb3-b84e-4a9a-8629-0f3a688033eb']
5229e422-65ad-434c-b87b-932ea6a2bc85,,[],[],"['4c08086f-7e56-4059-ad80-1033c389a69c', 'd46084fa-98d7-437a-b1e2-ff6cee663e9b']"
book-component:b7906a09-6495-4021-a0b4-dd81cd9fed86,ERROR,ERROR,ERROR,ERROR
