Loi,vods
c:vabb:364200,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:364200,0106 Biological sciences
c:vabb:364203,0201 Civil and building engineering
c:vabb:364207,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:364207,0106 Biological sciences
c:vabb:364209,0107 Environmental sciences
c:vabb:364231,0103 Physical sciences
c:vabb:364233,0107 Environmental sciences
c:vabb:364234,0107 Environmental sciences
c:vabb:364239,0107 Environmental sciences
c:vabb:364240,0107 Environmental sciences
c:vabb:364246,0107 Environmental sciences
c:vabb:364251,0107 Environmental sciences
c:vabb:364255,0507 Social and economic geography
c:vabb:364272,0507 Social and economic geography
c:vabb:364273,0507 Social and economic geography
c:vabb:364282,0107 Environmental sciences
c:vabb:364282,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:364284,0107 Environmental sciences
c:vabb:364294,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:364297,0107 Environmental sciences
c:vabb:364298,0107 Environmental sciences
c:vabb:364299,0107 Environmental sciences
c:vabb:364300,0107 Environmental sciences
c:vabb:364303,0203 Mechanical and manufacturing engineering
c:vabb:364304,0107 Environmental sciences
c:vabb:364312,0106 Biological sciences
c:vabb:364321,0107 Environmental sciences
c:vabb:364326,0107 Environmental sciences
c:vabb:364327,0107 Environmental sciences
c:vabb:364335,0507 Social and economic geography
c:vabb:364337,0107 Environmental sciences
c:vabb:364353,0107 Environmental sciences
c:vabb:364354,0107 Environmental sciences
c:vabb:364356,0107 Environmental sciences
c:vabb:364368,0507 Social and economic geography
c:vabb:364369,0107 Environmental sciences
c:vabb:364512,0302 Clinical sciences
c:vabb:364512,0303 Health sciences
c:vabb:364526,060101 Archaeology
c:vabb:364530,060101 Archaeology
c:vabb:364532,060101 Archaeology
c:vabb:364539,060101 Archaeology
c:vabb:364541,060104 History
c:vabb:364542,060104 History
c:vabb:364543,060104 History
c:vabb:364544,060104 History
c:vabb:364555,060101 Archaeology
c:vabb:364563,0504 Sociology and anthropology
c:vabb:364564,060104 History
c:vabb:364565,060104 History
c:vabb:364584,0505 Law and legal studies
c:vabb:364586,0505 Law and legal studies
c:vabb:364682,0505 Law and legal studies
c:vabb:364684,0505 Law and legal studies
c:vabb:364688,0505 Law and legal studies
c:vabb:364771,0502 Economics and business
c:vabb:364771,0505 Law and legal studies
c:vabb:364772,0599 Other social sciences
c:vabb:364775,0502 Economics and business
c:vabb:364776,0502 Economics and business
c:vabb:364789,0502 Economics and business
c:vabb:364798,0502 Economics and business
c:vabb:364802,0502 Economics and business
c:vabb:364806,0502 Economics and business
c:vabb:364807,0504 Sociology and anthropology
c:vabb:364813,0303 Health sciences
c:vabb:364828,0101 Mathematical sciences
c:vabb:364830,0101 Mathematical sciences
c:vabb:364831,0101 Mathematical sciences
c:vabb:364833,0299 Other engineering and technology
c:vabb:364835,0102 Information and computing sciences
c:vabb:364836,0101 Mathematical sciences
c:vabb:364841,0502 Economics and business
c:vabb:364848,0502 Economics and business
c:vabb:364861,0102 Information and computing sciences
c:vabb:364861,0508 	Media and communications
c:vabb:364862,0503 Pedagogical and educational sciences
c:vabb:364867,0503 Pedagogical and educational sciences
c:vabb:364869,0502 Economics and business
c:vabb:364875,0102 Information and computing sciences
c:vabb:364881,0503 Pedagogical and educational sciences
c:vabb:364883,0502 Economics and business
c:vabb:364884,0102 Information and computing sciences
c:vabb:364894,0502 Economics and business
c:vabb:364896,0503 Pedagogical and educational sciences
c:vabb:364897,
c:vabb:364907,0102 Information and computing sciences
c:vabb:364909,0503 Pedagogical and educational sciences
c:vabb:364911,0503 Pedagogical and educational sciences
c:vabb:364912,0502 Economics and business
c:vabb:364913,0502 Economics and business
c:vabb:364916,0502 Economics and business
c:vabb:364922,0501 Psychology and cognitive sciences
c:vabb:364925,0502 Economics and business
c:vabb:364935,0502 Economics and business
c:vabb:364950,0501 Psychology and cognitive sciences
c:vabb:365004,0502 Economics and business
c:vabb:365053,0302 Clinical sciences
c:vabb:365054,0302 Clinical sciences
c:vabb:365058,0306 Translational sciences
c:vabb:365074,0302 Clinical sciences
c:vabb:365077,0303 Health sciences
c:vabb:365078,0302 Clinical sciences
c:vabb:365078,0303 Health sciences
c:vabb:365122,0501 Psychology and cognitive sciences
c:vabb:365132,0106 Biological sciences
c:vabb:365135,0505 Law and legal studies
c:vabb:365136,0505 Law and legal studies
c:vabb:365142,0501 Psychology and cognitive sciences
c:vabb:365145,0504 Sociology and anthropology
c:vabb:365146,0501 Psychology and cognitive sciences
c:vabb:365152,0502 Economics and business
c:vabb:365160,0505 Law and legal studies
c:vabb:365164,0306 Translational sciences
c:vabb:365165,0501 Psychology and cognitive sciences
c:vabb:365172,0306 Translational sciences
c:vabb:365173,0501 Psychology and cognitive sciences
c:vabb:365175,0302 Clinical sciences
c:vabb:365186,0399 Other medical and health sciences
c:vabb:365202,0302 Clinical sciences
c:vabb:365203,0302 Clinical sciences
c:vabb:365204,0302 Clinical sciences
c:vabb:365217,0302 Clinical sciences
c:vabb:365218,0302 Clinical sciences
c:vabb:365224,0302 Clinical sciences
c:vabb:365225,0303 Health sciences
c:vabb:365226,0302 Clinical sciences
c:vabb:365230,0302 Clinical sciences
c:vabb:365230,0303 Health sciences
c:vabb:365236,0303 Health sciences
c:vabb:365238,0302 Clinical sciences
c:vabb:365239,0302 Clinical sciences
c:vabb:365240,0501 Psychology and cognitive sciences
c:vabb:365247,0302 Clinical sciences
c:vabb:365258,0302 Clinical sciences
c:vabb:365261,0302 Clinical sciences
c:vabb:365270,0303 Health sciences
c:vabb:365270,0501 Psychology and cognitive sciences
c:vabb:365281,0106 Biological sciences
c:vabb:365283,0399 Other medical and health sciences
c:vabb:365287,0302 Clinical sciences
c:vabb:365291,0302 Clinical sciences
c:vabb:365300,0302 Clinical sciences
c:vabb:365309,0303 Health sciences
c:vabb:365310,0303 Health sciences
c:vabb:365337,0106 Biological sciences
c:vabb:365358,0302 Clinical sciences
c:vabb:365359,0302 Clinical sciences
c:vabb:365366,0399 Other medical and health sciences
c:vabb:365369,0303 Health sciences
c:vabb:365371,0302 Clinical sciences
c:vabb:365372,0302 Clinical sciences
c:vabb:365375,0302 Clinical sciences
c:vabb:365376,0302 Clinical sciences
c:vabb:365379,0399 Other medical and health sciences
c:vabb:365380,0302 Clinical sciences
c:vabb:365382,0302 Clinical sciences
c:vabb:365383,0399 Other medical and health sciences
c:vabb:365384,0302 Clinical sciences
c:vabb:365389,0303 Health sciences
c:vabb:365402,0302 Clinical sciences
c:vabb:365406,0302 Clinical sciences
c:vabb:365408,0302 Clinical sciences
c:vabb:365409,0306 Translational sciences
c:vabb:365410,0399 Other medical and health sciences
c:vabb:365411,0302 Clinical sciences
c:vabb:365419,0302 Clinical sciences
c:vabb:365422,0302 Clinical sciences
c:vabb:365432,0302 Clinical sciences
c:vabb:365437,0302 Clinical sciences
c:vabb:365439,0302 Clinical sciences
c:vabb:365442,0302 Clinical sciences
c:vabb:365447,0399 Other medical and health sciences
c:vabb:365449,0302 Clinical sciences
c:vabb:365451,0501 Psychology and cognitive sciences
c:vabb:365452,0101 Mathematical sciences
c:vabb:365467,0302 Clinical sciences
c:vabb:365467,0501 Psychology and cognitive sciences
c:vabb:365475,0302 Clinical sciences
c:vabb:365484,0501 Psychology and cognitive sciences
c:vabb:365485,0501 Psychology and cognitive sciences
c:vabb:365487,0306 Translational sciences
c:vabb:365490,0501 Psychology and cognitive sciences
c:vabb:365527,0599 Other social sciences
c:vabb:365540,0505 Law and legal studies
c:vabb:365563,0505 Law and legal studies
c:vabb:365570,0504 Sociology and anthropology
c:vabb:365591,0502 Economics and business
c:vabb:365592,0502 Economics and business
c:vabb:365596,0505 Law and legal studies
c:vabb:365621,0505 Law and legal studies
c:vabb:365622,0505 Law and legal studies
c:vabb:365625,0505 Law and legal studies
c:vabb:365629,0505 Law and legal studies
c:vabb:365641,0505 Law and legal studies
c:vabb:365673,0505 Law and legal studies
c:vabb:365708,0505 Law and legal studies
c:vabb:365712,0505 Law and legal studies
c:vabb:365714,0505 Law and legal studies
c:vabb:365720,0505 Law and legal studies
c:vabb:365723,0502 Economics and business
c:vabb:365765,0505 Law and legal studies
c:vabb:365779,0505 Law and legal studies
c:vabb:365781,0505 Law and legal studies
c:vabb:365829,060104 History
c:vabb:365858,0503 Pedagogical and educational sciences
c:vabb:365859,0504 Sociology and anthropology
c:vabb:365862,0502 Economics and business
c:vabb:365874,0502 Economics and business
c:vabb:365890,0503 Pedagogical and educational sciences
c:vabb:365916,0302 Clinical sciences
c:vabb:365917,0501 Psychology and cognitive sciences
c:vabb:365919,0303 Health sciences
c:vabb:365920,0303 Health sciences
c:vabb:365921,0505 Law and legal studies
c:vabb:365928,0505 Law and legal studies
c:vabb:365929,0505 Law and legal studies
c:vabb:365953,0505 Law and legal studies
c:vabb:365958,0505 Law and legal studies
c:vabb:365961,0505 Law and legal studies
c:vabb:365968,0505 Law and legal studies
c:vabb:365969,0502 Economics and business
c:vabb:365970,0505 Law and legal studies
c:vabb:365971,0502 Economics and business
c:vabb:365972,0505 Law and legal studies
c:vabb:365977,0505 Law and legal studies
c:vabb:365982,0505 Law and legal studies
c:vabb:365986,0505 Law and legal studies
c:vabb:365987,0505 Law and legal studies
c:vabb:365988,0505 Law and legal studies
c:vabb:365990,0505 Law and legal studies
c:vabb:365993,0505 Law and legal studies
c:vabb:365994,0505 Law and legal studies
c:vabb:365995,0505 Law and legal studies
c:vabb:366011,0502 Economics and business
c:vabb:366019,0505 Law and legal studies
c:vabb:366035,0505 Law and legal studies
c:vabb:366084,0505 Law and legal studies
c:vabb:366092,0201 Civil and building engineering
c:vabb:366094,0102 Information and computing sciences
c:vabb:366097,0205 Materials engineering
c:vabb:366100,0299 Other engineering and technology
c:vabb:366101,0102 Information and computing sciences
c:vabb:366102,0201 Civil and building engineering
c:vabb:366103,0599 Other social sciences
c:vabb:366104,0102 Information and computing sciences
c:vabb:366105,0103 Physical sciences
c:vabb:366109,0299 Other engineering and technology
c:vabb:366110,0102 Information and computing sciences
c:vabb:366110,0502 Economics and business
c:vabb:366110,0299 Other engineering and technology
c:vabb:366112,0502 Economics and business
c:vabb:366112,0299 Other engineering and technology
c:vabb:366114,0502 Economics and business
c:vabb:366115,0102 Information and computing sciences
c:vabb:366115,0502 Economics and business
c:vabb:366115,0299 Other engineering and technology
c:vabb:366117,0502 Economics and business
c:vabb:366121,0101 Mathematical sciences
c:vabb:366122,0205 Materials engineering
c:vabb:366123,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:366124,0205 Materials engineering
c:vabb:366128,0201 Civil and building engineering
c:vabb:366134,0299 Other engineering and technology
c:vabb:366135,0102 Information and computing sciences
c:vabb:366139,0502 Economics and business
c:vabb:366140,0203 Mechanical and manufacturing engineering
c:vabb:366142,0201 Civil and building engineering
c:vabb:366143,0102 Information and computing sciences
c:vabb:366144,0203 Mechanical and manufacturing engineering
c:vabb:366146,0599 Other social sciences
c:vabb:366147,0299 Other engineering and technology
c:vabb:366149,0507 Social and economic geography
c:vabb:366156,0502 Economics and business
c:vabb:366158,0205 Materials engineering
c:vabb:366176,0502 Economics and business
c:vabb:366180,0502 Economics and business
c:vabb:366181,0502 Economics and business
c:vabb:366188,0502 Economics and business
c:vabb:366199,0203 Mechanical and manufacturing engineering
c:vabb:366201,0502 Economics and business
c:vabb:366201,0299 Other engineering and technology
c:vabb:366202,0502 Economics and business
c:vabb:366204,0102 Information and computing sciences
c:vabb:366222,0102 Information and computing sciences
c:vabb:366229,0502 Economics and business
c:vabb:366233,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:366246,0299 Other engineering and technology
c:vabb:366248,0102 Information and computing sciences
c:vabb:366251,0502 Economics and business
c:vabb:366253,0201 Civil and building engineering
c:vabb:366258,0299 Other engineering and technology
c:vabb:366262,0299 Other engineering and technology
c:vabb:366266,0502 Economics and business
c:vabb:366268,0201 Civil and building engineering
c:vabb:366277,0205 Materials engineering
c:vabb:366282,0201 Civil and building engineering
c:vabb:366284,0502 Economics and business
c:vabb:366292,0299 Other engineering and technology
c:vabb:366297,0205 Materials engineering
c:vabb:366308,0502 Economics and business
c:vabb:366311,0205 Materials engineering
c:vabb:366315,0502 Economics and business
c:vabb:366319,0502 Economics and business
c:vabb:366319,0299 Other engineering and technology
c:vabb:366326,0102 Information and computing sciences
c:vabb:366326,0101 Mathematical sciences
c:vabb:366328,0102 Information and computing sciences
c:vabb:366328,0599 Other social sciences
c:vabb:366329,0102 Information and computing sciences
c:vabb:366330,0203 Mechanical and manufacturing engineering
c:vabb:366331,0205 Materials engineering
c:vabb:366332,0299 Other engineering and technology
c:vabb:366333,0102 Information and computing sciences
c:vabb:366334,0102 Information and computing sciences
c:vabb:366336,0299 Other engineering and technology
c:vabb:366337,0299 Other engineering and technology
c:vabb:366338,0299 Other engineering and technology
c:vabb:366339,0299 Other engineering and technology
c:vabb:366340,0299 Other engineering and technology
c:vabb:366341,0299 Other engineering and technology
c:vabb:366342,0502 Economics and business
c:vabb:366343,0205 Materials engineering
c:vabb:366344,0299 Other engineering and technology
c:vabb:366345,"0401 Agriculture, forestry, fisheries and allied sciences"
c:vabb:366345,0102 Information and computing sciences
c:vabb:366345,"0207 Biotechnology, bio-engineering and biosystems engineering"
c:vabb:366345,0101 Mathematical sciences
c:vabb:366346,0102 Information and computing sciences
c:vabb:366353,0102 Information and computing sciences
c:vabb:366357,0203 Mechanical and manufacturing engineering
c:vabb:366358,0502 Economics and business
c:vabb:366359,0502 Economics and business
c:vabb:366360,0299 Other engineering and technology
c:vabb:366361,0502 Economics and business
c:vabb:366361,0101 Mathematical sciences
c:vabb:366361,0299 Other engineering and technology
c:vabb:366362,0299 Other engineering and technology
c:vabb:366374,0102 Information and computing sciences
c:vabb:366375,0102 Information and computing sciences
c:vabb:366377,0502 Economics and business
c:vabb:366386,0102 Information and computing sciences
c:vabb:366387,0102 Information and computing sciences
c:vabb:366388,0102 Information and computing sciences
c:vabb:366389,0502 Economics and business
c:vabb:366389,0299 Other engineering and technology
c:vabb:366390,0299 Other engineering and technology
c:vabb:366391,0201 Civil and building engineering
c:vabb:366394,0502 Economics and business
c:vabb:366404,0102 Information and computing sciences
c:vabb:366409,0205 Materials engineering
c:vabb:366414,0205 Materials engineering
c:vabb:366418,0299 Other engineering and technology
c:vabb:366425,0502 Economics and business
c:vabb:366436,0505 Law and legal studies
c:vabb:366459,0505 Law and legal studies
c:vabb:366469,0505 Law and legal studies
c:vabb:366470,0505 Law and legal studies
c:vabb:366484,0505 Law and legal studies
c:vabb:366519,0505 Law and legal studies
c:vabb:366529,0505 Law and legal studies
c:vabb:366580,0505 Law and legal studies
c:vabb:366581,0505 Law and legal studies
c:vabb:366614,0505 Law and legal studies
c:vabb:366645,0505 Law and legal studies
c:vabb:366647,0505 Law and legal studies
c:vabb:366649,0505 Law and legal studies
c:vabb:366651,0505 Law and legal studies
c:vabb:366656,0505 Law and legal studies
c:vabb:366658,0505 Law and legal studies
c:vabb:366660,0505 Law and legal studies
c:vabb:366662,0505 Law and legal studies
c:vabb:366665,0505 Law and legal studies
c:vabb:366684,0505 Law and legal studies
c:vabb:366689,0505 Law and legal studies
c:vabb:366713,0303 Health sciences
c:vabb:366730,0303 Health sciences
c:vabb:366733,0302 Clinical sciences
c:vabb:366734,0303 Health sciences
c:vabb:366736,0303 Health sciences
c:vabb:366737,0303 Health sciences
c:vabb:366741,0302 Clinical sciences
c:vabb:366743,0306 Translational sciences
c:vabb:366754,0302 Clinical sciences
c:vabb:366760,0306 Translational sciences
c:vabb:366766,0306 Translational sciences
c:vabb:366772,0106 Biological sciences
c:vabb:366772,0302 Clinical sciences
c:vabb:366772,0206 (Bio)medical engineering
c:vabb:366776,0106 Biological sciences
c:vabb:366776,0302 Clinical sciences
c:vabb:366776,0206 (Bio)medical engineering
c:vabb:366786,0302 Clinical sciences
c:vabb:366788,0306 Translational sciences
c:vabb:366789,0501 Psychology and cognitive sciences
c:vabb:366790,0501 Psychology and cognitive sciences
c:vabb:366791,0306 Translational sciences
c:vabb:366793,0302 Clinical sciences
c:vabb:366797,0306 Translational sciences
c:vabb:366797,0501 Psychology and cognitive sciences
c:vabb:366800,0306 Translational sciences
c:vabb:366800,0501 Psychology and cognitive sciences
c:vabb:366802,0306 Translational sciences
c:vabb:366802,0302 Clinical sciences
c:vabb:366804,0306 Translational sciences
c:vabb:366805,0302 Clinical sciences
c:vabb:366806,0302 Clinical sciences
c:vabb:366808,0306 Translational sciences
c:vabb:366808,0302 Clinical sciences
c:vabb:366809,0106 Biological sciences
c:vabb:366809,0302 Clinical sciences
c:vabb:366809,0206 (Bio)medical engineering
c:vabb:366810,0306 Translational sciences
c:vabb:366811,0306 Translational sciences
c:vabb:366816,0306 Translational sciences
c:vabb:366817,0501 Psychology and cognitive sciences
c:vabb:366822,0102 Information and computing sciences
c:vabb:366822,0206 (Bio)medical engineering
c:vabb:366827,0302 Clinical sciences
c:vabb:366829,0306 Translational sciences
c:vabb:366833,0306 Translational sciences
c:vabb:366834,0306 Translational sciences
c:vabb:366835,0302 Clinical sciences
c:vabb:366836,0501 Psychology and cognitive sciences
c:vabb:366844,0303 Health sciences
c:vabb:366844,0501 Psychology and cognitive sciences
c:vabb:366848,0306 Translational sciences
c:vabb:366848,0302 Clinical sciences
c:vabb:366849,0302 Clinical sciences
c:vabb:366852,0302 Clinical sciences
c:vabb:366853,0302 Clinical sciences
c:vabb:366856,0303 Health sciences
c:vabb:366857,0501 Psychology and cognitive sciences
c:vabb:366864,0306 Translational sciences
c:vabb:366865,0206 (Bio)medical engineering
c:vabb:366868,0306 Translational sciences
c:vabb:366868,0501 Psychology and cognitive sciences
c:vabb:366869,0306 Translational sciences
c:vabb:366884,0501 Psychology and cognitive sciences
c:vabb:366891,0306 Translational sciences
c:vabb:366893,0302 Clinical sciences
c:vabb:366893,0501 Psychology and cognitive sciences
c:vabb:366900,0302 Clinical sciences
c:vabb:366902,0302 Clinical sciences
c:vabb:366908,0306 Translational sciences
c:vabb:366910,0303 Health sciences
c:vabb:366923,0306 Translational sciences
c:vabb:366923,0302 Clinical sciences
c:vabb:366924,0302 Clinical sciences
c:vabb:366934,0302 Clinical sciences
c:vabb:366934,0303 Health sciences
c:vabb:366935,0306 Translational sciences
c:vabb:366935,0302 Clinical sciences
c:vabb:366941,0501 Psychology and cognitive sciences
c:vabb:366942,0302 Clinical sciences
c:vabb:366949,0302 Clinical sciences
c:vabb:366954,0306 Translational sciences
c:vabb:366956,0302 Clinical sciences
c:vabb:366959,0302 Clinical sciences
c:vabb:366988,0302 Clinical sciences
c:vabb:366989,0302 Clinical sciences
c:vabb:366998,0303 Health sciences
c:vabb:367000,0302 Clinical sciences
c:vabb:367001,0302 Clinical sciences
c:vabb:367002,0306 Translational sciences
c:vabb:367002,0302 Clinical sciences
c:vabb:367003,0303 Health sciences
c:vabb:367006,0302 Clinical sciences
c:vabb:367009,0302 Clinical sciences
c:vabb:367010,0302 Clinical sciences
c:vabb:367011,0303 Health sciences
c:vabb:367012,0302 Clinical sciences
c:vabb:367015,0306 Translational sciences
c:vabb:367018,0302 Clinical sciences
c:vabb:367020,0302 Clinical sciences
c:vabb:367021,0303 Health sciences
c:vabb:367024,0303 Health sciences
c:vabb:367039,0303 Health sciences
c:vabb:367069,0303 Health sciences
c:vabb:367087,0302 Clinical sciences
c:vabb:367094,0302 Clinical sciences
c:vabb:367096,0302 Clinical sciences
c:vabb:367099,0106 Biological sciences
c:vabb:367099,0302 Clinical sciences
c:vabb:367099,0206 (Bio)medical engineering
c:vabb:367110,0302 Clinical sciences
c:vabb:367112,0302 Clinical sciences
c:vabb:367116,0303 Health sciences
c:vabb:367117,0306 Translational sciences
c:vabb:367123,0306 Translational sciences
c:vabb:367129,0302 Clinical sciences
c:vabb:367130,0501 Psychology and cognitive sciences
c:vabb:367134,0303 Health sciences
c:vabb:367138,0106 Biological sciences
c:vabb:367139,0302 Clinical sciences
c:vabb:367140,0399 Other medical and health sciences
c:vabb:367149,0306 Translational sciences
c:vabb:367149,0302 Clinical sciences
c:vabb:367167,0302 Clinical sciences
c:vabb:367168,0306 Translational sciences
c:vabb:367176,0306 Translational sciences
c:vabb:367176,0302 Clinical sciences
c:vabb:367180,0302 Clinical sciences
c:vabb:367182,0306 Translational sciences
c:vabb:367182,0302 Clinical sciences
c:vabb:367187,0303 Health sciences
c:vabb:367188,0302 Clinical sciences
c:vabb:367197,0306 Translational sciences
c:vabb:367200,0302 Clinical sciences
c:vabb:367202,0306 Translational sciences
c:vabb:367202,0302 Clinical sciences
c:vabb:367207,0306 Translational sciences
c:vabb:367207,0302 Clinical sciences
c:vabb:367210,0303 Health sciences
c:vabb:367214,0302 Clinical sciences
c:vabb:367219,0306 Translational sciences
c:vabb:367219,0302 Clinical sciences
c:vabb:367250,0303 Health sciences
c:vabb:367251,0302 Clinical sciences
c:vabb:367252,0302 Clinical sciences
c:vabb:367253,0302 Clinical sciences
c:vabb:367254,0306 Translational sciences
c:vabb:367262,0303 Health sciences
c:vabb:367269,0302 Clinical sciences
c:vabb:367269,0303 Health sciences
c:vabb:367275,0302 Clinical sciences
c:vabb:367286,0302 Clinical sciences
c:vabb:367290,0306 Translational sciences
c:vabb:367291,0302 Clinical sciences
c:vabb:367293,0302 Clinical sciences
c:vabb:367296,0302 Clinical sciences
c:vabb:367297,0302 Clinical sciences
c:vabb:367330,0303 Health sciences
c:vabb:367330,0501 Psychology and cognitive sciences
c:vabb:367336,0501 Psychology and cognitive sciences
c:vabb:367339,0302 Clinical sciences
c:vabb:367339,0303 Health sciences
c:vabb:367339,0501 Psychology and cognitive sciences
c:vabb:367357,0104 Chemical sciences
c:vabb:367362,0604 Arts
c:vabb:367375,0302 Clinical sciences
c:vabb:367376,0303 Health sciences
c:vabb:367377,0303 Health sciences
c:vabb:367382,0303 Health sciences
c:vabb:367383,0303 Health sciences
c:vabb:367395,0303 Health sciences
c:vabb:367414,0505 Law and legal studies
c:vabb:367424,0505 Law and legal studies
c:vabb:367425,0505 Law and legal studies
c:vabb:367427,0505 Law and legal studies
c:vabb:367429,0505 Law and legal studies
c:vabb:367430,0505 Law and legal studies
c:vabb:367432,0505 Law and legal studies
c:vabb:367479,0501 Psychology and cognitive sciences
c:vabb:367484,0505 Law and legal studies
c:vabb:367488,0505 Law and legal studies
c:vabb:367489,0505 Law and legal studies
c:vabb:367491,0505 Law and legal studies
c:vabb:367507,0505 Law and legal studies
c:vabb:367508,0505 Law and legal studies
c:vabb:367510,0505 Law and legal studies
c:vabb:367515,0505 Law and legal studies
c:vabb:367536,0505 Law and legal studies
c:vabb:367537,0505 Law and legal studies
c:vabb:367538,0505 Law and legal studies
c:vabb:367539,0505 Law and legal studies
c:vabb:367549,0302 Clinical sciences
c:vabb:367551,0302 Clinical sciences
c:vabb:367553,0302 Clinical sciences
c:vabb:367554,0303 Health sciences
c:vabb:367555,0302 Clinical sciences
c:vabb:367557,0399 Other medical and health sciences
c:vabb:367564,0302 Clinical sciences
c:vabb:367565,0303 Health sciences
c:vabb:367569,0306 Translational sciences
c:vabb:367570,0306 Translational sciences
c:vabb:367572,0302 Clinical sciences
c:vabb:367573,0302 Clinical sciences
c:vabb:367575,0302 Clinical sciences
c:vabb:367576,0302 Clinical sciences
c:vabb:367577,0302 Clinical sciences
c:vabb:367580,0302 Clinical sciences
c:vabb:367582,0302 Clinical sciences
c:vabb:367585,0302 Clinical sciences
c:vabb:367587,0302 Clinical sciences
c:vabb:367588,0399 Other medical and health sciences
c:vabb:367591,0306 Translational sciences
c:vabb:367592,0302 Clinical sciences
c:vabb:367593,0302 Clinical sciences
c:vabb:367594,0302 Clinical sciences
c:vabb:367595,0302 Clinical sciences
c:vabb:367596,0302 Clinical sciences
c:vabb:367597,0302 Clinical sciences
c:vabb:367598,0302 Clinical sciences
c:vabb:367599,0302 Clinical sciences
c:vabb:367600,0302 Clinical sciences
c:vabb:367602,0302 Clinical sciences
c:vabb:367603,0302 Clinical sciences
c:vabb:367605,0302 Clinical sciences
c:vabb:367606,0302 Clinical sciences
c:vabb:367611,0302 Clinical sciences
c:vabb:367614,0302 Clinical sciences
c:vabb:367620,0302 Clinical sciences
c:vabb:367621,0399 Other medical and health sciences
c:vabb:367623,0302 Clinical sciences
c:vabb:367624,0302 Clinical sciences
c:vabb:367625,0399 Other medical and health sciences
c:vabb:367626,0302 Clinical sciences
c:vabb:367627,0302 Clinical sciences
c:vabb:367629,0302 Clinical sciences
c:vabb:367631,0302 Clinical sciences
c:vabb:367632,0302 Clinical sciences
c:vabb:367633,0302 Clinical sciences
c:vabb:367636,0306 Translational sciences
c:vabb:367644,0302 Clinical sciences
c:vabb:367646,0302 Clinical sciences
c:vabb:367648,060202 Linguistics
c:vabb:367652,0399 Other medical and health sciences
c:vabb:367653,0399 Other medical and health sciences
c:vabb:367655,0106 Biological sciences
c:vabb:367667,
c:vabb:367669,0399 Other medical and health sciences
c:vabb:367670,0302 Clinical sciences
c:vabb:367672,0302 Clinical sciences
c:vabb:367673,0306 Translational sciences
c:vabb:367673,0302 Clinical sciences
c:vabb:367674,0306 Translational sciences
c:vabb:367674,0302 Clinical sciences
c:vabb:367675,0106 Biological sciences
c:vabb:367675,0302 Clinical sciences
c:vabb:367675,0206 (Bio)medical engineering
c:vabb:367676,
c:vabb:367677,0106 Biological sciences
c:vabb:367678,0306 Translational sciences
c:vabb:367678,0302 Clinical sciences
c:vabb:367679,0302 Clinical sciences
c:vabb:367684,0306 Translational sciences
c:vabb:367687,0106 Biological sciences
c:vabb:367688,0302 Clinical sciences
c:vabb:367689,0302 Clinical sciences
c:vabb:367690,0302 Clinical sciences
c:vabb:367691,0306 Translational sciences
c:vabb:367691,0302 Clinical sciences
c:vabb:367693,0302 Clinical sciences
c:vabb:367694,0302 Clinical sciences
c:vabb:367695,0302 Clinical sciences
c:vabb:367696,0302 Clinical sciences
c:vabb:367698,0302 Clinical sciences
c:vabb:367703,0302 Clinical sciences
c:vabb:367704,0302 Clinical sciences
c:vabb:367706,0302 Clinical sciences
c:vabb:367707,0302 Clinical sciences
c:vabb:367708,0302 Clinical sciences
c:vabb:367709,0302 Clinical sciences
c:vabb:367712,0302 Clinical sciences
c:vabb:367714,
c:vabb:367717,0302 Clinical sciences
c:vabb:367719,0302 Clinical sciences
c:vabb:367721,0303 Health sciences
c:vabb:367722,0302 Clinical sciences
c:vabb:367723,0306 Translational sciences
c:vabb:367724,0106 Biological sciences
c:vabb:367725,0302 Clinical sciences
c:vabb:367726,0302 Clinical sciences
c:vabb:367727,0302 Clinical sciences
c:vabb:367728,0399 Other medical and health sciences
c:vabb:367732,0302 Clinical sciences
c:vabb:367733,0106 Biological sciences
c:vabb:367736,0306 Translational sciences
c:vabb:367742,0306 Translational sciences
c:vabb:367742,0302 Clinical sciences
c:vabb:367746,0302 Clinical sciences
c:vabb:367749,0399 Other medical and health sciences
c:vabb:367750,0106 Biological sciences
c:vabb:367751,0302 Clinical sciences
c:vabb:367753,0302 Clinical sciences
c:vabb:367755,0302 Clinical sciences
c:vabb:367756,0302 Clinical sciences
c:vabb:367761,0302 Clinical sciences
c:vabb:367762,0302 Clinical sciences
c:vabb:367765,0302 Clinical sciences
c:vabb:367766,0103 Physical sciences
c:vabb:367767,0306 Translational sciences
c:vabb:367768,0302 Clinical sciences
c:vabb:367769,0302 Clinical sciences
c:vabb:367770,0399 Other medical and health sciences
c:vabb:367771,0399 Other medical and health sciences
c:vabb:367772,0302 Clinical sciences
c:vabb:367775,0302 Clinical sciences
c:vabb:367776,0302 Clinical sciences
c:vabb:367778,0302 Clinical sciences
c:vabb:367779,0303 Health sciences
