Loi,vods
c:vabb:153078,0502 Economics and business
c:vabb:153079,0503 Pedagogical and educational sciences
c:vabb:153079,0303 Health sciences
c:vabb:153080,0306 Translational sciences
c:vabb:153081,0501 Psychology and cognitive sciences
c:vabb:153089,0504 Sociology and anthropology
c:vabb:153091,060202 Linguistics
c:vabb:153094,0505 Law and legal studies
c:vabb:153097,0604 Arts
c:vabb:153101,0505 Law and legal studies
c:vabb:153103,0306 Translational sciences
c:vabb:153103,0106 Biological sciences
c:vabb:153103,0302 Clinical sciences
c:vabb:153104,0102 Information and computing sciences
c:vabb:153106,0501 Psychology and cognitive sciences
c:vabb:153111,0505 Law and legal studies
c:vabb:153112,0505 Law and legal studies
c:vabb:153118,0505 Law and legal studies
c:vabb:153141,0507 Social and economic geography
c:vabb:153142,0505 Law and legal studies
c:vabb:153145,0504 Sociology and anthropology
c:vabb:153146,0505 Law and legal studies
c:vabb:153150,0502 Economics and business
c:vabb:153163,060302 Philosophy
c:vabb:153168,0504 Sociology and anthropology
c:vabb:153169,060203 Literary studies
c:vabb:153171,0505 Law and legal studies
c:vabb:153185,0604 Arts
c:vabb:153186,0306 Translational sciences
c:vabb:153187,0106 Biological sciences
c:vabb:153188,0306 Translational sciences
c:vabb:153189,0306 Translational sciences
c:vabb:153190,0206 (Bio)medical engineering
c:vabb:153194,0506 Political sciences
c:vabb:153234,0505 Law and legal studies
c:vabb:153237,060302 Philosophy
c:vabb:153243,0505 Law and legal studies
c:vabb:153244,0102 Information and computing sciences
c:vabb:153244,060202 Linguistics
c:vabb:153246,060104 History
c:vabb:153247,0302 Clinical sciences
c:vabb:153269,060104 History
c:vabb:153269,0504 Sociology and anthropology
c:vabb:153272,0502 Economics and business
c:vabb:153297,060203 Literary studies
c:vabb:153300,060203 Literary studies
c:vabb:153307,060203 Literary studies
c:vabb:153318,0504 Sociology and anthropology
c:vabb:153320,0503 Pedagogical and educational sciences
c:vabb:153332,0505 Law and legal studies
c:vabb:153343,0507 Social and economic geography
c:vabb:153344,0505 Law and legal studies
c:vabb:153345,0505 Law and legal studies
c:vabb:153350,0599 Other social sciences
c:vabb:153380,060202 Linguistics
c:vabb:153384,0302 Clinical sciences
c:vabb:153384,0303 Health sciences
c:vabb:153413,0505 Law and legal studies
c:vabb:153417,0508 	Media and communications
c:vabb:153419,0103 Physical sciences
c:vabb:153420,0502 Economics and business
c:vabb:153421,0508 	Media and communications
c:vabb:153422,0302 Clinical sciences
c:vabb:153423,0303 Health sciences
c:vabb:153429,0505 Law and legal studies
c:vabb:153430,0502 Economics and business
c:vabb:153431,0502 Economics and business
c:vabb:153432,0506 Political sciences
c:vabb:153433,0107 Environmental sciences
c:vabb:153434,0101 Mathematical sciences
c:vabb:153443,0502 Economics and business
c:vabb:153465,0502 Economics and business
c:vabb:153469,0505 Law and legal studies
c:vabb:153476,060202 Linguistics
c:vabb:153478,060304 Theology and religious studies
c:vabb:153480,0505 Law and legal studies
c:vabb:153484,0306 Translational sciences
c:vabb:153495,0501 Psychology and cognitive sciences
c:vabb:153497,060104 History
c:vabb:153502,060202 Linguistics
