Loi,fos_codes
c:vabb:269987,6.1.1
c:vabb:269989,6.2.2
c:vabb:269990,5.8
c:vabb:269991,6.1.2
c:vabb:269992,6.2.1
c:vabb:269994,6.3.2
c:vabb:269995,5.8
c:vabb:269996,5.7
c:vabb:269996,5.4
c:vabb:270004,5.4
c:vabb:270013,3.1
c:vabb:270013,3.3
c:vabb:270019,5.1
c:vabb:270021,5.1
c:vabb:270022,5.1
c:vabb:270023,5.1
c:vabb:270024,5.1
c:vabb:270027,5.1
c:vabb:270031,3.2
c:vabb:270032,3.2
c:vabb:270032,5.1
c:vabb:270036,5.1
c:vabb:270037,3.2
c:vabb:270037,3.3
c:vabb:270041,3.2
c:vabb:270042,3.2
c:vabb:270043,5.1
c:vabb:270044,5.5
c:vabb:270046,5.5
c:vabb:270047,5.5
c:vabb:270050,5.5
c:vabb:270052,5.5
c:vabb:270053,5.5
c:vabb:270081,2.3
c:vabb:270082,5.5
c:vabb:270083,5.5
c:vabb:270086,5.5
c:vabb:270090,5.5
c:vabb:270091,5.5
c:vabb:270092,5.5
c:vabb:270100,5.5
c:vabb:270103,5.2
c:vabb:270108,5.2
c:vabb:270109,5.5
c:vabb:270122,5.5
c:vabb:270123,5.5
c:vabb:270124,5.5
c:vabb:270132,5.5
c:vabb:270135,5.5
c:vabb:270142,5.5
c:vabb:270146,5.5
c:vabb:270147,5.5
c:vabb:270164,5.5
c:vabb:270165,5.5
c:vabb:270166,5.5
c:vabb:270172,5.5
c:vabb:270196,5.5
c:vabb:270234,5.5
c:vabb:270235,5.5
c:vabb:270236,5.9
c:vabb:270247,6.3.1
c:vabb:270249,1.4
c:vabb:270249,2.5
c:vabb:270252,5.2
c:vabb:270259,5.3
c:vabb:270260,5.3
c:vabb:270262,5.3
c:vabb:270268,6.3.2
c:vabb:270269,6.1.1
c:vabb:270272,6.1.1
c:vabb:270272,6.2.1
c:vabb:270274,6.1.1
c:vabb:270274,6.2.1
c:vabb:270278,6.1.1
c:vabb:270279,6.1.1
c:vabb:270280,5.6
c:vabb:270282,5.5
c:vabb:270283,5.5
c:vabb:270292,5.5
c:vabb:270293,5.5
c:vabb:270297,5.5
c:vabb:270300,5.5
c:vabb:270302,5.5
c:vabb:270304,5.5
c:vabb:270305,5.4
c:vabb:270306,5.5
c:vabb:270307,5.5
c:vabb:270310,5.5
c:vabb:270316,6.3.1
c:vabb:270329,5.6
c:vabb:270330,5.6
c:vabb:270334,5.6
c:vabb:270338,6.3.1
c:vabb:270341,6.3.1
c:vabb:270352,6.3.1
c:vabb:270358,6.3.1
c:vabb:270370,6.3.1
c:vabb:270378,5.6
c:vabb:270380,6.3.1
c:vabb:270381,6.3.1
c:vabb:270387,5.8
c:vabb:270396,6.3.1
c:vabb:270443,5.6
c:vabb:270444,5.5
c:vabb:270445,5.6
