ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
ac81ab52-ce3b-4fc0-b530-7ff83fc2296a,Identification and comparison of prokaryote transcriptional networks ,2009-10-01Z,2009-10-19Z,[],"['728ce370-2f26-4970-883e-651e141f71ab', 'eb3d9780-db85-4532-9320-c17fbf6f52bc']","['e9519ece-fc8b-4742-9727-08b1c53d6d07', 'e9519ece-fc8b-4742-9727-08b1c53d6d07']",[],1
1a4b40c7-7ae4-44f3-b6e1-13e27bda2047,Global Governance and the European Union Future Trends and Scenarios,2019-01-01Z,2022-06-30Z,"['05050216', '05060603']",['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],['612605e0-ead6-4e3e-b258-8a10285564f1'],[],1
04d8fe1f-689c-40d1-87cc-4e1615a7d182,Managing biosafety and biodiversity in a global world EU US California and comparative perspectives ,2008-01-01Z,2009-06-30Z,"['050201', '050204', '050205', '050209', '050210']","['6d476b34-08dd-4a4c-a845-be703f1e237f', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']","['81087032-d03c-4748-bf9d-d43d9afe64d2', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
3f3b7776-c44d-4104-9789-b505e00053f7,The role of E catenin in the control of bone mass and marrow adiposity Implications for systemic metabolic disorders ,2016-09-15Z,2020-12-31Z,"['030126', '030626']","['7298b9cb-e762-49f5-a211-50d4d3e25cc3', '9ade0482-d5c9-40cd-9a3c-2496720a4ebd', 'a1634040-29d8-4a7d-a275-5a8d23b6b0bc']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '61a9f0d7-1f47-46b1-9a91-25973d85f88e', '61a9f0d7-1f47-46b1-9a91-25973d85f88e']",[],1
9f553ff4-a0f9-4afd-b297-8b092ac3f162,MapFlux Bridging the Gap Between Paper based Maps and Their Digital Counterparts,2014-01-01Z,2017-12-31Z,"['010103', '010202', '010203', '010204', '010205', '010206', '010207', '010208', '010209']","['8f67a470-84f9-4a9e-ba6c-6eafe6915db7', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716']","['83c49bde-1d14-45a2-8ced-36a079096e62', '83c49bde-1d14-45a2-8ced-36a079096e62']",[],1
576c13d5-4b40-4b59-adcb-d4afeb9b1a25,Live cell analysis equipment for the study of biosafety level BSL3 pathogens,2018-06-01Z,2020-05-31Z,"['04020115', '04020102', '04020111']","['bd531feb-45a6-4fbf-a0d1-e44e6b00794c', '289466bc-f129-4749-b1bb-8868858483e0', 'b6f7bd9c-7140-415f-b428-8b47a514d247']","['6cc5cf21-3993-4700-b404-266547b737cf', '2975cb25-a687-4800-8113-c924c1b5d363', '6cc5cf21-3993-4700-b404-266547b737cf']",[],1
1e658f1b-bda4-4cfa-9bb7-f194e382037a,Production of immunotolerant pigs to PCV1 and PCV2 and approach to reproduce postweaning multisystemic wasting syndrome PMWS ,2010-10-01Z,2012-09-30Z,"['030614', '030114', '030620', '030120', '030216', '010611', '030214', '030220', '010608', '030116', '030616']","['b6f7bd9c-7140-415f-b428-8b47a514d247', 'a70ec165-24ff-4783-9baa-927c64a0cc92']","['6cc5cf21-3993-4700-b404-266547b737cf', '6cc5cf21-3993-4700-b404-266547b737cf']",[],1
3deb6a5d-1952-4b0e-a3c1-7121799e648c,Development of an innovative range of antiseptics disinfectants,2012-04-01Z,2014-03-31Z,"['010611', '030116', '030216', '030616', '030620', '010608', '030120']","['808a2cb7-3b1d-4af3-a770-0451c5474038', 'b6f7bd9c-7140-415f-b428-8b47a514d247']","['42a8d1b9-6afa-4bb4-b473-6450550681ad', '6cc5cf21-3993-4700-b404-266547b737cf']",[],1
4b18f15e-3aa3-422b-aa72-c702a14e1c9e,Business and human rights a critical reflection on corporate human rights responsibility through a re interpretation of US and EU corporate law and its foundational view on the corporations role within society,2012-12-11Z,2015-06-09Z,"['050502', '050599']","['209c6df6-bbf1-4460-9092-8729b776c84c', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']","['612605e0-ead6-4e3e-b258-8a10285564f1', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
80921f23-4e34-4457-a72d-1e41f920dad5,Identification of new Salmonella biofilm inhibitors through a 39 bottom up 39 and 39 top down 39 approach ,2009-01-01Z,2013-09-12Z,"['020501', '020601', '020602', '020603', '020699', '020701', '020702', '020799', '010608', '010611', '030116', '030120', '030616', '030620']","['082b880d-29ab-4399-982b-54ef1b21dacb', '645b5404-9d03-48bd-a324-d50ce3455685', 'be29c71d-8643-465c-aae4-4ce5ba6352c5']","['e9519ece-fc8b-4742-9727-08b1c53d6d07', 'e9519ece-fc8b-4742-9727-08b1c53d6d07', 'e9519ece-fc8b-4742-9727-08b1c53d6d07']",[],1
329ba6fe-a37c-4eb4-8c84-ef873a225a18,BetaCellYherapy ,2010-01-01Z,2015-06-30Z,[],['7298b9cb-e762-49f5-a211-50d4d3e25cc3'],['843bb2fb-e499-4e64-b7f7-20c646bb60bd'],[],1
086b865f-232b-4f86-b386-f3b162b5dd29,Deliberation in the Common Interest on Mankind the role of Multilateral Forums in International Law Making for the Global Commons ,2014-09-01Z,2020-06-16Z,"['059999', '050502']","['8d991f4d-1e5d-46e7-befa-a009b746cbaa', '4ae9f117-a91c-4152-97c7-edffe9313250']","['612605e0-ead6-4e3e-b258-8a10285564f1', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
035ac23f-2d35-46f6-aa84-b32384831049,Dynamic interaction between beta cells antigens and immune system cells in type 1 diabetes ,2009-10-01Z,2016-03-10Z,"['030109', '030609', '030114', '030614']","['674a54ee-cefe-43a0-8008-4145ab0e9f5e', '7298b9cb-e762-49f5-a211-50d4d3e25cc3']","['f5af8a62-9241-49f1-bd56-a0aea67c9fce', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",[],1
76d6c9d2-b359-4849-845f-5c983485a079,The legal framework of space reversible operations a fundamental inquiry into the interplay between space law and public international law,2018-10-08Z,2022-10-08Z,['05050214'],"['5046e3d1-1af9-42a0-b5af-67b9ebab9793', '8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'bc2cdbab-d0f9-4263-8a86-d854eeaac87a']","['612605e0-ead6-4e3e-b258-8a10285564f1', '612605e0-ead6-4e3e-b258-8a10285564f1', '67f1fec9-585d-4d12-a178-8bc285cc8593']",[],1
5f86904a-3995-495a-be59-4ecefcd4e3f8,Development of customizable attenuated and vector vaccines to protect against porcine reproductive and respiratory syndrome PRRS essential for a successful treatment,2012-01-01Z,2015-12-31Z,"['030216', '030616', '030120', '030620', '010611', '010608', '030116']",['b6f7bd9c-7140-415f-b428-8b47a514d247'],['6cc5cf21-3993-4700-b404-266547b737cf'],[],1
1c3bb44c-1b5b-4ecb-8a1c-9773d88d14c7,Opportunities and pitfalls for sustainable materials management in European Union law EU materials law examined ,2012-11-01Z,2018-06-23Z,"['050502', '050599']","['a895ade1-c3c1-4367-8dbe-62169576bbcf', 'b6d7ea2c-4962-45a7-b913-8b02680ede2a', '8ed00754-b467-446d-82f5-38056dc29370']","['da14fbf2-a049-4201-a191-70f94798cfeb', '9584090f-262f-4eef-a81c-5307d8f80be9']",['a65fc48e-69e3-4251-950d-722ed26cbb45'],1
ed21779f-f31f-4122-b6a5-7381a3b7df6f,Ex Machina,2010-01-01Z,2010-12-31Z,"['0101', '0102', '0208']","['eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', '01809df1-01f0-4361-bcda-8b763f56a4be']","['83c49bde-1d14-45a2-8ced-36a079096e62', '83c49bde-1d14-45a2-8ced-36a079096e62']",[],1
6fd98e5b-7c58-44fd-91da-afba6ea6732f,Transforming human interface designs through model driven engineering,2008-01-01Z,2011-12-31Z,"['0101', '0102']","['1086a6a5-8106-48ce-96d6-4f5a3c6a41b2', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', '01809df1-01f0-4361-bcda-8b763f56a4be']","['83c49bde-1d14-45a2-8ced-36a079096e62', '83c49bde-1d14-45a2-8ced-36a079096e62', '83c49bde-1d14-45a2-8ced-36a079096e62']",[],1
ecb85d38-76e5-4e18-a47c-c664ff5a0ce2,Trading the intangible in a digital world digital services under international trade law,2015-09-01Z,2019-10-05Z,['059999'],"['a895ade1-c3c1-4367-8dbe-62169576bbcf', '8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'dd58eca7-6eee-45a5-8b0e-a7ba739a5264']","['da14fbf2-a049-4201-a191-70f94798cfeb', '612605e0-ead6-4e3e-b258-8a10285564f1', '67f1fec9-585d-4d12-a178-8bc285cc8593']",['65a1f6e2-acce-439c-8153-40834bcd19d7'],1
133e358b-e701-4459-a529-46105e4b7127,Price differentiation from an EU legal perspective An intradisciplinary study into the scope systemic coherence and adequacy of the regulatory framework ,2015-09-01Z,2020-01-05Z,"['050502', '050599']","['a895ade1-c3c1-4367-8dbe-62169576bbcf', '454a3846-6841-4b0c-b67b-6086e39f146d', '0b859a97-787b-4545-b938-0fa5aec0e6b3']","['da14fbf2-a049-4201-a191-70f94798cfeb', 'd28253b7-1b02-4198-afec-6d34edd7678d', 'd28253b7-1b02-4198-afec-6d34edd7678d', 'd28253b7-1b02-4198-afec-6d34edd7678d']",[],1
94285807-b63b-4fbe-895e-ad8ce8e9db89,Ritchie a center for mobile ICT applications within the heritage and cultural tourism sector ,2008-09-01Z,2010-11-30Z,['0101'],"['eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', '01809df1-01f0-4361-bcda-8b763f56a4be']","['83c49bde-1d14-45a2-8ced-36a079096e62', '83c49bde-1d14-45a2-8ced-36a079096e62']",[],1
68002f6e-15c2-4e24-9481-139dd1c64719,Explaining Global India a multi sectoral PhD training programme analysing the emergence of India as a global actor,2017-04-01Z,2021-03-31Z,['050502'],"['60772b54-f741-41e0-b516-e645c3778fcc', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']","['686cf9b5-adbf-4046-9361-c41438aff052', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
1258aebc-f57b-4d4f-91ec-d71b0c0ecbd5,Exploration of macrophage specific molecules for cell directed therapy,2010-10-01Z,2012-10-01Z,"['030120', '020799', '020601', '030614', '030214', '020699', '030220', '030114', '030116', '020603', '030620', '020701', '020501', '020602', '020702', '030216', '010608', '010611', '030616']","['b6f7bd9c-7140-415f-b428-8b47a514d247', '40de94b9-2a02-4177-ad1d-e6333f75d9a1']","['6cc5cf21-3993-4700-b404-266547b737cf', '6cc5cf21-3993-4700-b404-266547b737cf']",[],1
